what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449835755764
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449835806964
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449835808440
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449835812925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449835814402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449835872829
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449835880154
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449835884925
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449835885054
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449835885097
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449835885151
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449835885882
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1449835886535
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1449835887006
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1449835887571
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449835888420
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449835956091
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1449835956794
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1449835962349
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449835964649
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449836367240
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1449836373529
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1449836373909
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1449836375845
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449836377438
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449836381185
started,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1449836389944
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1449836390555
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1449836390568
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1449836390571
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1449836390572
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1449836390605
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449836408583
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449836408676
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449836408698
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449836416445
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449836420302
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449836420711
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449836428107
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449836428153
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449836428172
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449836430833
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1449836445224
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449836447557
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449836449860
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449836456116
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449836457142
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449836457721
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449836470447
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449836575211
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449836648636
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449836663137
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449836671659
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449837068185
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449837095052
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1449837096311
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1449837104930
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449837121620
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1449837123224
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1449837123536
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449837145199
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1449837146461
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1449837146743
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449837156689
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1449837158408
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1449837158704
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449837167651
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449837192420
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449837197232
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449837197289
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449837197310
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449837198708
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449837198768
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449837198786
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449837200296
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449837200326
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449837201579
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1449837211981
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449837212746
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449837219114
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449837220273
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449837220367
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449837220391
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449837222962
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1449837223255
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1449837223568
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1449837223834
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1449837224052
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1449837224254
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1449837224512
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1449837224844
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1449837225166
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1449837225488
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1449837225846
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1449837226301
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1449837227457
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1449837228021
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1449837237304
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449837241042
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449837248942
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449837275301
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449837287548
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449837291091
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449837297375
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449837429621
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449837525367
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449837542892
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1449837542926
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449837547226
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449837647009
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449837647054
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449837649614
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449837655137
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449839962356
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449839966228
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449839966248
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449839967494
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449839976988
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449839977846
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449840002649
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449840002771
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1449840002913
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449840004305
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1449840008061
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449840012989
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449840034326
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449840040788
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1449840047209
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449840047239
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449840050972
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449840101504
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449840105049
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449840105853
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449840109247
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449840112384
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449840125978
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449840133567
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1449840159314
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449840159332
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449840162598
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449840170320
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449840186718
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449840188599
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449840201570
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449840206210
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449840208490
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1449840213133
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449840213189
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449840214140
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449840263115
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449840263151
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1449840272721
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449840282674
